"INSTITUCIONET E ARSIMIT
 TE LARTE PUBLIK",FAKULTETI,ID E PROGRAMIT TË  STUDIMIT ,"EMERTIMI I PROGRAMIT
 TË  STUDIMIT ",INDEKSI I LENDES,LENDET ME ZGJEDHJE,KOEFICIENTET,SHENIM
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,1,ANGLISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,2,ITALISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,3,FRENGJISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,4,GJERMANISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,5,SPANJISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,6,GREQISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,7,TURQISHT,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,8,LETËRSI E THELLUAR,1.4,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,9,MATEMATIKË E THELLUAR,1,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,10,KIMI BËRTHAMË,1,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,11,KIMI E THELLUAR,1,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,12,FIZIKË BËRTHAMË,1,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,13,FIZIKË E THELLUAR,1,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,14,BIOLOGJI BËRTHAMË,1,
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,15,BIOLOGJI E THELLUAR,1,
