"INSTITUCIONET E ARSIMIT
 TE LARTE PUBLIK",FAKULTETI,ID E PROGRAMIT TË  STUDIMIT ,"EMERTIMI I PROGRAMIT
 TË  STUDIMIT ",INDEKSI I PROFILIT,LLOJI SHKOLLES,KOEFICIENTET
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,1,GJIMNAZ,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,2,GJIMNAZ ME KOHË TË SHKURTUAR,1.1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,3,SEKSION DY GJUHËSH SHQIP-FRËNGJISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,4,SEKSION DY GJUHËSH SHQIP-ITALISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,5,SEKSION DY GJUHËSH SHQIP-GJERMANISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,6,GJIMNAZ GJUHËSOR,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,7,SHKOLLË ARTISTIKE/KOREOGRAFIKE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,8,SHKOLLË SPORTIVE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,9,SHKOLLË PEDAGOGJIKE,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,10,HOTELERI-TURIZËM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,11,SHËRBIME MJETESH TRANSPORTI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,12,MEKANIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,13,ELEKTROTEKNIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,14,ELEKTRONIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,15,PËRPUNIM DRURI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,16,NDËRTIM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,17,TEKSTIL-KONFEKSIONE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,18,TEKNOLOGJI USHQIMORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,19,BUJQËSI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,20,SHËRBIME SOCIALE DHE SHËNDETSORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,21,VETERINARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,22,GJEODEZI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,23,INSTALUES I SISTEMEVE TERMOHIDRAULIKE ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,24,LLOGARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,25,SHËRBIME BANKARE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,26,ADMINSITRIM BIZNESI ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,27,RRJETE TË DHËNASH,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,28,MBËSHTETJE E PËRDORUESVE TË TIK,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,29,ELEKTRONIK NË TEKNOLOGJINË E AUTOMATIZIMIT ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,30,SILVIKULTURË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,31,"HARRY FULTZ, BIZNES",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,001, Histori ,32,"HARRY FULTZ, ELEKTRONIKË",1
