Nr,faza_I_2013,faza_I_2014,faza_I_2015,uni_unique
1,UNIVERSITETI I TIRANËS,UNIVERSITETI I TIRANËS,UNIVERSITETI I TIRANËS,UNIVERSITETI I TIRANËS
2,UNIVERSITETI BUJQËSOR I TIRANËS,UNIVERISTETI MJEKËSOR I TIRANËS,UNIVERISTETI MJEKËSOR I TIRANËS,UNIVERISTETI MJEKËSOR I TIRANËS
3,UNIVERSITETI POLITEKNIK I TIRANËS,UNIVERSITETI BUJQËSOR I TIRANËS,UNIVERSITETI BUJQËSOR I TIRANËS,UNIVERSITETI BUJQËSOR I TIRANËS
4,UNIVERSITETI I KORÇËS “Fan S. Noli”,UNIVERSITETI POLITEKNIK I TIRANËS,UNIVERSITETI POLITEKNIK I TIRANËS,UNIVERSITETI POLITEKNIK I TIRANËS
5,UNIVERSITETI I ELBASANIT “Aleksandër Xhuvani”,UNIVERSITETI I KORÇËS “Fan S. Noli”,UNIVERSITETI I KORÇËS “Fan S. Noli”,UNIVERSITETI I KORÇËS “Fan S. Noli”
6,UNIVERSITETI I GJIROKASTRËS “Eqrem Çabej”,UNIVERSITETI I ELBASANIT “Aleksandër Xhuvani”,UNIVERSITETI I ELBASANIT “Aleksandër Xhuvani”,UNIVERSITETI I ELBASANIT “Aleksandër Xhuvani”
7,UNIVERSITETI I SHKODRËS “Luigj Gurakuqi”,UNIVERSITETI I GJIROKASTRËS “Eqrem Çabej”,UNIVERSITETI I GJIROKASTRËS “Eqrem Çabej”,UNIVERSITETI I GJIROKASTRËS “Eqrem Çabej”
8,UNIVERSITETI I VLORËS “Ismail Qemali”,UNIVERSITETI I SHKODRËS “Luigj Gurakuqi”,UNIVERSITETI I SHKODRËS “Luigj Gurakuqi”,UNIVERSITETI I SHKODRËS “Luigj Gurakuqi”
9,UNIVERSITETI I DURRËSIT “Aleksandër Moisiu”,UNIVERSITETI I VLORËS “Ismail Qemali”,UNIVERSITETI I VLORËS “Ismail Qemali”,UNIVERSITETI I VLORËS “Ismail Qemali”
10,UNIVERSITETI I ARTEVE TIRANË,UNIVERSITETI I DURRËSIT “Aleksandër Moisiu”,UNIVERSITETI I DURRËSIT “Aleksandër Moisiu”,UNIVERSITETI I DURRËSIT “Aleksandër Moisiu”
11,UNIVERSITETI I SPORTEVE TË TIRANËS,UNIVERSITETI I ARTEVE TIRANË,UNIVERSITETI I ARTEVE TIRANË,UNIVERSITETI I ARTEVE TIRANË
12,AKADEMIA E ARTEVE SHKODER,UNIVERSITETI I SPORTEVE TË TIRANËS,UNIVERSITETI I SPORTEVE TË TIRANËS,UNIVERSITETI I SPORTEVE TË TIRANËS
